UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Barack Obama,@BarackObama,2013-09-17T14:55:02.000Z,"Barack Obama
@BarackObama
·
Sep 17, 2013","Share the good news: 6.8M consumers saved $1.2B on health insurance premiums last year thanks to #Obamacare. http://OFA.BO/Shv6p6
265
694
304",,265,694,304,[],https://twitter.com/BarackObama/status/379981830096568321
Barack Obama,@BarackObama,2013-09-17T18:26:22.000Z,"Barack Obama
@BarackObama
·
Sep 17, 2013","Spread the word: For millions of Americans, health insurance could cost $100 a month or less. http://OFA.BO/fsbF9j #Obamacare
278
737
275",,278,737,275,[],https://twitter.com/BarackObama/status/380035011874783232
Barack Obama,@BarackObama,2013-09-18T14:33:53.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","In the wake of the #NavyYardShooting, President Obama calls on Congress to take action to prevent gun violence. http://OFA.BO/uWurer
338
490
300",,338,490,300,[],https://twitter.com/BarackObama/status/380338895981780992
Barack Obama,@BarackObama,2013-09-18T18:01:05.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","President Obama on the need for gun violence prevention measures: http://OFA.BO/7LMYA4 #NavyYardShooting
199
306
170",,199,306,170,[],https://twitter.com/BarackObama/status/380391036909928448
Barack Obama,@BarackObama,2013-09-17T20:41:49.000Z,"Barack Obama
@BarackObama
·
Sep 17, 2013","A government shutdown could undermine our recovering economy—say #EnoughAlready. http://OFA.BO/j4ixdP
309
425
222",,309,425,222,[],https://twitter.com/BarackObama/status/380069100476575744
Barack Obama,@BarackObama,2013-09-14T16:00:06.000Z,"Barack Obama
@BarackObama
·
Sep 14, 2013","A government shutdown would disrupt veterans' benefits—all in the name of politics. Say #EnoughAlready. http://OFA.BO/qmMex9
372
594
294",,372,594,294,[],https://twitter.com/BarackObama/status/378911040664121345
Barack Obama,@BarackObama,2013-09-15T01:44:07.000Z,"Barack Obama
@BarackObama
·
Sep 14, 2013","Powerful speech by 
@JonathanDelArco
 on equality, taking the road less traveled, and demanding to be seen: http://OFA.BO/mrsmCo #LoveIsLove
318
742
562",,318,742,562,[],https://twitter.com/BarackObama/status/379058012171689984
Barack Obama,@BarackObama,2013-09-17T22:00:07.000Z,"Barack Obama
@BarackObama
·
Sep 17, 2013","A government shutdown could delay student loans—all in the name of defunding #Obamacare. Say #EnoughAlready: http://OFA.BO/QwBGxF
390
705
258",,390,705,258,[],https://twitter.com/BarackObama/status/380088803240591361
Barack Obama,@BarackObama,2013-09-18T22:20:49.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","It's time to talk about #immigration. Tonight, a group of Democrats in the House takes the floor to say #CIRMeansJobs http://OFA.BO/Utv7Lk
318
549
278",,318,549,278,[],https://twitter.com/BarackObama/status/380456404156297216
Barack Obama,@BarackObama,2013-09-17T19:26:04.000Z,"Barack Obama
@BarackObama
·
Sep 17, 2013","Some members of Congress are prepared to shut down the government to defund #Obamacare. Tell them #EnoughAlready: http://OFA.BO/Dvx2g4
311
542
228",,311,542,228,[],https://twitter.com/BarackObama/status/380050037398446080
Barack Obama,@BarackObama,2013-09-18T16:49:11.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","""The evidence is overwhelming, the science is clear, and the threat from climate change is real and urgent."" —
@ErnestMoniz
 #ScienceSaysSo
235
690
268",,235,690,268,[],https://twitter.com/BarackObama/status/380372945022902273
Barack Obama,@BarackObama,2013-09-18T18:53:29.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","""If our changing climate goes unchecked, it will have devastating impacts on the United States and the planet."" —@GinaEPA #ScienceSaysSo
235
497
216",,235,497,216,[],https://twitter.com/BarackObama/status/380404226767081472
Barack Obama,@BarackObama,2013-09-18T21:51:16.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","All across the country tonight, people will #StandWithWomen. Read about 
@OFA
's new initiative: http://OFA.BO/ZpHTxQ
170
429
241",,170,429,241,[],https://twitter.com/BarackObama/status/380448967487533056
Barack Obama,@BarackObama,2013-09-18T19:52:20.000Z,"Barack Obama
@BarackObama
·
Sep 18, 2013","President Obama will not let a group of Republicans take away health care from millions of people. Watch: http://OFA.BO/Gf7M3y
263
423
270",,263,423,270,[],https://twitter.com/BarackObama/status/380419036078538752
Barack Obama,@BarackObama,2013-09-23T18:41:06.000Z,"Barack Obama
@BarackObama
·
Sep 23, 2013","Born to run, 64 years ago today. Have a good one 
@Springsteen
.
515
5,137
3,162",,515,"5,137","3,162",['https://pbs.twimg.com/media/BU3kvWfCUAA1Cfh?format=png&name=small'],https://twitter.com/BarackObama/status/382213045528711169
Barack Obama,@BarackObama,2013-09-21T15:36:28.000Z,"Barack Obama
@BarackObama
·
Sep 21, 2013","ICYMI: Only 4.6% of Fortune 1000 companies are run by women. Let's change that. #StandWithWomen
340
1,165
625",,340,"1,165",625,['https://pbs.twimg.com/media/BUsnTLlCYAEPlLl?format=jpg&name=small'],https://twitter.com/BarackObama/status/381441803913682944
Barack Obama,@BarackObama,2013-09-22T17:42:53.000Z,"Barack Obama
@BarackObama
·
Sep 22, 2013","Tell Congress: Your best idea in 2013 can't be the worst idea from 1995: http://OFA.BO/UdKGPH #EnoughAlready
417
1,208
785",,417,"1,208",785,['https://pbs.twimg.com/media/BUyN0-jCcAE3jqE?format=png&name=small'],https://twitter.com/BarackObama/status/381836009698127872
Barack Obama,@BarackObama,2013-09-21T21:10:31.000Z,"Barack Obama
@BarackObama
·
Sep 21, 2013","What's more important—passing a budget or defunding Obamacare? #EnoughAlready
965
1,196
689",,965,"1,196",689,[],https://twitter.com/BarackObama/status/381525876065579009
Barack Obama,@BarackObama,2013-09-19T19:08:46.000Z,"Barack Obama
@BarackObama
·
Sep 19, 2013","It's time to stop playing games with our economy over a law that passed years ago. #EnoughAlready
484
1,341
671",,484,"1,341",671,[],https://twitter.com/BarackObama/status/380770459735687168
Barack Obama,@BarackObama,2013-09-22T21:50:03.000Z,"Barack Obama
@BarackObama
·
Sep 22, 2013","""Our tears are not enough."" —President Obama stresses the need for gun violence prevention at today's memorial for the #NavyYardShooting
478
1,209
647",,478,"1,209",647,[],https://twitter.com/BarackObama/status/381898209305452544
Barack Obama,@BarackObama,2013-09-19T15:25:11.000Z,"Barack Obama
@BarackObama
·
Sep 19, 2013","#StandWithWomen to support women's health, economic security and leadership opportunities. Learn more: http://OFA.BO/YmqBJB
178
596
346",,178,596,346,[],https://twitter.com/BarackObama/status/380714194175156225
Barack Obama,@BarackObama,2013-09-22T20:56:48.000Z,"Barack Obama
@BarackObama
·
Sep 22, 2013","Watch live: President Obama speaks at the memorial for victims of the #NavyYardShooting. http://OFA.BO/KVVjce
139
275
165",,139,275,165,[],https://twitter.com/BarackObama/status/381884811649888256
Barack Obama,@BarackObama,2013-09-23T16:46:15.000Z,"Barack Obama
@BarackObama
·
Sep 23, 2013","A clear majority of Americans opposes the House's demand to defund #Obamacare or shut down the government. http://OFA.BO/BijQD6
498
629
305",,498,629,305,[],https://twitter.com/BarackObama/status/382184143653584896
Barack Obama,@BarackObama,2013-09-19T20:37:40.000Z,"Barack Obama
@BarackObama
·
Sep 19, 2013","""Are they really willing to hurt people just to score political points? I hope not."" —President Obama http://OFA.BO/ryKKW3 #EnoughAlready
474
779
324",,474,779,324,[],https://twitter.com/BarackObama/status/380792829506629632
Barack Obama,@BarackObama,2013-09-20T20:08:25.000Z,"Barack Obama
@BarackObama
·
Sep 20, 2013","""Action on climate change presents a distinct opportunity. And we have seen it work."" —@GinaEPA Read more: http://OFA.BO/JWtDe2
305
477
258",,305,477,258,[],https://twitter.com/BarackObama/status/381147858499407873
Barack Obama,@BarackObama,2013-09-21T17:46:36.000Z,"Barack Obama
@BarackObama
·
Sep 21, 2013","""We are running out of time to fix this."" —President Obama on the need for Congress to pass a budget. http://OFA.BO/TsPbCT #EnoughAlready
266
508
253",,266,508,253,[],https://twitter.com/BarackObama/status/381474558189903872
Barack Obama,@BarackObama,2013-09-19T17:06:27.000Z,"Barack Obama
@BarackObama
·
Sep 19, 2013","A group of Republicans the House is willing to shut down the government unless Obamacare is defunded. #EnoughAlready: http://OFA.BO/Pozo3S
348
599
217",,348,599,217,[],https://twitter.com/BarackObama/status/380739676086075392
Barack Obama,@BarackObama,2013-09-23T15:07:47.000Z,"Barack Obama
@BarackObama
·
Sep 23, 2013","Climate change is real and dangerous. Show your support for the 
@EPA
's new standards to cut carbon pollution: http://OFA.BO/UPNwsT
279
595
281",,279,595,281,[],https://twitter.com/BarackObama/status/382159365353922560
Barack Obama,@BarackObama,2013-09-20T14:01:18.000Z,"Barack Obama
@BarackObama
·
Sep 20, 2013","Today @GinaEPA announces the first ever limits on carbon pollution from future power plants. Read more: http://OFA.BO/FhMrwG #ActOnClimate
171
431
238",,171,431,238,[],https://twitter.com/BarackObama/status/381055471655727106
Barack Obama,@BarackObama,2013-09-23T22:28:10.000Z,"Barack Obama
@BarackObama
·
Sep 23, 2013","You can be a part of 
@OFA
's work for the agenda the American people voted for in 2012. Chip in today: http://OFA.BO/ToVYTm
242
245
207",,242,245,207,[],https://twitter.com/BarackObama/status/382270191633059840
Barack Obama,@BarackObama,2013-09-23T19:49:30.000Z,"Barack Obama
@BarackObama
·
Sep 23, 2013","There's no time like the present. Support 
@OFA
 today and keep this movement for progress strong: http://OFA.BO/Mqs228
172
244
192",,172,244,192,[],https://twitter.com/BarackObama/status/382230260336427008
Barack Obama,@BarackObama,2013-09-19T21:20:51.000Z,"Barack Obama
@BarackObama
·
Sep 19, 2013","The #sequester threatens to derail major innovative breakthroughs, says 
@MIT
 president. http://OFA.BO/FF4TRk
179
233
141",,179,233,141,[],https://twitter.com/BarackObama/status/380803698957361153
Barack Obama,@BarackObama,2013-09-25T22:30:15.000Z,"Barack Obama
@BarackObama
·
Sep 25, 2013","Obamacare is the law of the land. Tell Congress #EnoughAlready: http://OFA.BO/fTzCgw
957
1,770
923",,957,"1,770",923,['https://pbs.twimg.com/media/BVCsXnrCEAAbisa?format=png&name=small'],https://twitter.com/BarackObama/status/382995490104545280
